55	54	51	68	88
50	52	34	67	76
50	50	44	69	72
62	45	40	52	86
61	59	34	46	73
67	35	43	46	73
47	36	28	56	80
29	37	27	60	87
41	45	33	68	90
38	31	38	75	84
24	25	26	89	104
42	30	28	117	107
40	42	29	123	101
28	18	27	110	102
32	23	30	110	108
31	26	27	111	101
35	18	27	118	101
24	43	31	109	96
32	38	15	102	89
21	35	26	124	96
28	41	23	111	88
34	40	31	98	95
28	30	34	103	88
37	40	30	106	81
49	43	40	111	64
62	66	24	124	66
62	68	41	130	70
55	84	25	106	68
34	73	20	102	69
37	78	23	88	80
24	77	34	87	82
47	102	53	76	70
22	99	44	71	65
35	101	42	67	86
48	105	44	51	81
56	86	57	57	54
56	69	59	65	48
47	78	54	67	50
47	81	47	55	29
57	73	66	50	31
60	78	77	58	29
66	74	72	65	32
68	62	85	30	32
45	57	89	27	26
51	56	87	28	22
43	74	79	32	25
48	67	81	34	29
33	67	77	26	28
50	74	90	49	34
54	79	77	46	53
56	75	66	64	58
60	69	81	76	65
56	67	106	67	58
42	66	116	47	49
31	60	115	45	52
24	57	124	48	42
31	55	128	43	59
38	55	133	67	64
53	48	143	82	46
35	39	141	93	66
53	61	143	92	52
62	59	130	87	69
56	37	129	90	71
68	41	147	98	78
74	30	148	88	95
59	21	128	84	81
66	29	127	84	72
64	27	117	107	77
83	22	124	110	55
79	24	121	109	71
78	24	129	113	56
75	35	123	122	44
67	32	119	124	25
75	27	129	125	36
66	18	132	105	34
59	38	139	106	51
67	43	138	93	54
65	49	130	104	55
57	56	153	97	58
64	63	154	105	50
73	64	167	108	37
68	56	161	130	43
61	77	166	139	64
47	107	157	147	68
47	110	159	146	58
53	94	175	161	54
35	98	178	141	67
21	94	178	133	71
48	87	198	144	63
57	95	191	145	51
55	80	190	152	63
66	81	194	142	81
48	86	184	162	66
35	91	186	150	58
21	72	177	150	55
28	53	185	140	61
27	43	179	173	68
21	35	186	175	35
19	23	181	188	26
25	23	191	170	34
23	24	200	180	34
22	32	209	199	38
20	30	206	203	34
31	29	196	181	29
58	20	195	172	37
54	36	188	190	40
69	27	176	171	29
88	41	169	174	21
101	55	171	174	20
107	65	147	197	26
114	81	150	204	26
124	59	147	202	44
117	66	167	209	57
111	69	174	201	39
108	72	171	194	48
88	53	175	207	41
83	41	184	195	62
91	50	181	200	65
85	34	176	198	63
79	38	190	178	63
75	39	193	186	65
57	35	195	178	71
37	46	197	175	72
21	66	188	169	100
32	48	203	164	101
52	62	208	154	86
45	66	201	149	82
48	71	188	143	73
53	54	187	158	70
56	51	171	175	58
57	72	154	192	76
73	62	162	179	68
66	62	173	203	67
82	57	150	201	69
91	59	138	201	60
106	53	168	211	47
114	78	159	194	36
118	84	141	201	21
97	97	130	209	28
82	71	129	204	25
96	78	137	204	43
94	60	127	192	53
96	72	132	209	77
95	72	121	203	89
97	70	118	196	85
89	75	105	205	92
82	58	116	194	91
67	73	120	196	91
73	68	132	171	86
75	73	118	172	87
64	74	132	182	84
52	92	141	178	71
41	101	131	170	74
33	105	145	136	64
30	118	134	145	62
29	108	142	160	55
32	104	155	174	61
27	91	166	162	59
31	100	175	171	73
44	98	186	174	79
34	95	177	162	86
55	79	182	154	80
49	83	179	154	74
63	83	163	152	86
75	86	159	161	58
98	54	145	160	47
93	45	150	164	54
61	51	160	155	43
62	44	178	165	44
63	22	168	158	30
62	36	173	163	28
76	43	168	195	37
85	49	169	180	33
72	24	156	186	38
67	29	150	173	22
54	34	144	171	34
60	40	135	155	20
52	34	130	152	24
53	27	123	158	31
59	19	111	149	32
74	30	121	134	39
74	38	130	126	23
85	31	134	140	19
96	16	135	141	42
107	32	132	140	47
105	28	135	142	37
104	36	122	148	29
122	35	133	138	35
99	32	155	136	40
98	21	156	122	24
125	22	147	131	24
115	23	144	131	18
104	41	132	117	34
122	18	150	114	39
119	28	159	116	48
108	34	145	120	40
94	30	142	122	46
78	41	143	142	47
71	36	130	155	50
85	34	122	150	63
88	47	123	154	71
80	56	123	148	78
75	45	120	150	84
56	44	110	146	95
50	29	119	138	96
46	35	128	144	77
44	36	134	144	85
48	38	142	134	74
49	47	138	117	85
37	37	142	125	75
32	33	133	115	75
36	28	116	122	70
40	51	125	121	76
36	62	128	120	96
38	77	122	118	101
30	85	109	101	92
35	83	125	88	94
37	76	115	111	99
41	66	128	115	91
26	59	123	119	112
41	65	120	107	114
38	64	115	130	105
45	60	132	126	109
33	43	132	121	111
56	50	119	114	109
74	34	117	107	120
79	23	122	112	105
62	24	123	110	107
59	31	134	99	107
64	42	144	117	110
67	46	130	117	113
58	72	117	145	106
64	55	113	145	102
66	61	118	148	116
65	67	121	167	118
69	77	107	164	122
73	68	98	169	114
77	66	85	163	110
72	69	74	154	108
97	66	80	146	107
83	69	80	138	99
97	62	93	156	113
99	53	94	168	103
103	48	93	171	109
105	69	94	185	129
101	74	92	185	112
104	74	88	172	89
110	84	90	198	82
107	67	85	191	83
102	58	78	181	100
99	80	63	166	88
102	86	65	184	82
109	105	61	193	92
113	106	84	193	82
100	93	73	189	75
109	115	73	178	65
113	115	81	163	71
102	118	82	162	66
129	131	96	166	71
114	134	93	162	70
109	128	81	176	65
110	120	90	180	50
116	128	81	198	72
119	130	55	208	77
118	131	72	199	76
113	127	73	178	66
129	119	79	194	51
141	108	86	186	47
141	111	59	197	61
128	105	69	208	59
111	97	72	208	61
106	98	73	199	51
110	94	63	208	35
109	79	77	208	32
106	65	70	207	35
128	62	70	205	34
142	91	73	202	17
141	77	75	192	23
139	76	83	188	39
153	66	94	187	49
133	59	81	181	41
126	64	78	193	32
130	66	74	205	56
129	68	85	206	59
137	65	99	201	59
134	57	101	188	50
143	90	109	192	42
138	93	124	185	41
159	79	99	173	53
140	65	75	184	55
148	66	58	178	47
135	79	50	155	51
145	81	70	158	53
145	71	74	152	71
139	73	67	151	73
147	65	65	147	63
169	61	71	156	54
156	56	56	162	58
152	52	46	163	67
121	38	74	158	56
94	25	63	155	58
112	20	67	147	71
126	30	52	125	62
119	30	69	121	61
123	22	67	115	92
123	19	85	111	74
126	30	49	118	52
123	22	52	105	62
144	28	42	105	75
159	27	47	82	101
167	16	48	77	99
160	39	62	67	91
180	29	66	55	81
162	28	77	50	85
157	39	65	69	77
160	46	52	70	79
157	50	47	78	83
152	58	43	77	100
171	73	38	71	122
181	85	46	85	111
174	89	40	63	131
168	95	44	54	112
183	91	47	65	111
192	106	38	55	127
206	110	29	67	143
204	121	43	74	150
194	121	36	83	146
199	130	29	90	165
195	126	28	77	149
176	127	22	79	128
180	112	37	89	139
172	103	38	88	147
186	119	31	71	139
204	128	30	66	142
200	119	33	73	156
194	131	43	83	154
193	138	25	98	161
187	146	31	99	155
164	135	28	116	150
158	139	28	102	140
159	137	26	108	142
164	134	32	102	149
173	130	43	106	142
189	122	50	118	124
187	132	53	119	115
198	137	63	121	116
191	142	51	119	102
189	134	27	106	97
202	132	22	97	91
209	135	23	77	96
200	129	39	77	86
192	119	49	78	96
188	121	58	88	116
183	104	69	97	98
183	110	53	91	111
186	96	49	87	117
182	122	28	105	120
175	126	48	111	120
148	138	39	125	140
132	143	55	156	142
128	127	67	140	150
147	128	80	146	139
157	146	82	151	146
155	134	78	142	151
147	148	67	151	157
135	176	65	161	165
142	167	66	156	173
144	153	53	139	172
142	147	55	141	138
152	154	32	139	131
157	163	36	160	116
167	171	48	156	132
184	162	27	137	136
198	173	31	151	129
209	191	45	153	150
201	183	38	151	150
198	170	38	146	144
202	167	45	150	166
196	179	39	135	151
208	178	22	139	160
186	173	28	146	167
186	159	28	147	164
177	164	26	159	150
190	178	20	164	141
195	163	29	156	124
199	175	25	145	118
187	177	27	135	109
191	198	49	126	102
